Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
IN,Mumbai,Line 11,Line 11,2020,2026,0,12.8,69.00%,8.8,0,0,10,,Plan,"70,850",INR,2018,0.048,3400.8,265.7,1.275269108,"4,336.9",338.8,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+11/8dc85106-19e2-48a5-875e-acdb289c357d,,,,
IN,Mumbai,Line 12,Line 12,2020,2026,0,20.8,0.00%,0,0,0,17,,Plan,"47,380",INR,2018,0.048,2274.24,109.3,1.275269108,"2,900.3",139.4,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+12/20c81fcb-0b2c-40c2-9e06-a7b4e7d46bdb,,,,
GR,Athens,Line 4,Line 4,2019,2027,0,12.8,100.00%,12.8,0,0,15,,Plan,"1,328",EUR,2023,1.3,1726.4,134.9,1.050957985,"1,814.4",141.7,Plan,https://www.ametro.gr/?p=14801&lang=en,,,,
GR,Athens,Line 3,Line 3 to Piraeus,2012,2021,0,7.6,100.00%,7.6,0,0,6,,Plan,742,EUR,2016,1.3,964.6,126.9,1.334248584,"1,287.0",169.3,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf,,,,
GR,Thessaloniki,Main line,Main line,2006,2020,0,9.5,100.00%,9.5,0,0,13,,Plan,"1,112",EUR,2014,1.3,1445.6,152.2,1.352684002,"1,955.4",205.8,Plan,https://omekgroup.com.gr/projects/thessaloniki-metro/,,,,
GR,Thessaloniki,Kalamaria Extension,Kalamaria Extension,2013,2021,0,4.8,100.00%,4.8,0,0,5,,Plan,567,EUR,2017,1.3,737.1,153.6,1.306417265,963.0,200.6,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf,,,,
KR,Busan,Line 1,Line 1 extension,2009,2017,0,8,100.00%,8,0,0,6,,Trade,"959,000",KRW,2013,0.00115,1102.85,137.9,1.374627077,"1,516.0",189.5,Trade,https://www.railwaygazette.com/asia/busan-metro-line-1-extends/44436.article,,,,
KR,Seoul,Gimpo Urban Railway,Gimpo Urban Railway,2014,2019,0,23.7,100.00%,23.7,0,0,10,,Trade,"1,655,300",KRW,2016,0.00116,1920.148,81.0,1.334248584,"2,562.0",108.1,Media,http://www.kyeonggi.com/news/articleView.html?idxno=564944,,,,
KR,Seoul,Line 7,Line 7 extension,2014,2021,0,3.9,100.00%,3.9,0,0,2,,Wiki,"432,100",KRW,2017,0.0011,475.31,121.9,1.306417265,621.0,159.2,Media,https://www.hankyung.com/society/article/2013061797248,,,,
KR,Seoul,2020s program,2020s program,2020,2028,0,71,100.00%,71,0,0,53,,Media,"7,230,200",KRW,2024,0.0011,7953.22,112.0,1.020848675,"8,119.0",114.4,Media,http://news1.kr/articles/?3552208,,,,
SG,Singapore,Circle Line,Circle Line Stage 6,2017,2025,0,4,100.00%,4,0,0,3,,Media,"4,850",SGD,2021,1.13,5480.5,1370.1,1.181787652,"6,476.8","1,619.2",Media,https://www.straitstimes.com/singapore/transport/last-stage-of-circle-line-to-cost-a-lot-more-than-first-5-stages,,,,
FR,Paris,Line 12,Line 12 to Aubervilliers,2012,2021,0,1.7,100.00%,1.7,0,0,2,,Plan,175,EUR,2006,1.25,218.875,128.8,1.5884375,347.7,204.5,Plan,https://www.prolongement-metro12.fr/faq-metro-m12/,,,,
